,city,lat,lon,temp,humidity,cloud_cover,wind_speed,country,date
270,buenos aires,-34.61,-58.38,58.53,58,40,6.93,AR,1588714287
271,port hardy,50.7,-127.42,55.4,62,75,14.99,CA,1588714476
272,cayenne,4.93,-52.33,82.4,83,40,10.29,GF,1588714180
273,aripuana,-9.17,-60.63,77.67,95,100,1.3,BR,1588714223
274,takoradi,4.88,-1.76,82.22,81,52,6.49,GH,1588714194
275,pilna,55.55,45.92,54.64,66,0,9.82,RU,1588714477
276,itarema,-2.92,-39.92,80.1,85,83,13.15,BR,1588714477
277,sao filipe,14.9,-24.5,75.67,71,0,9.93,CV,1588714477
278,marrakesh,31.63,-8.01,73.4,56,98,11.41,MA,1588714477
279,playa vicente,17.83,-95.82,100.87,31,77,5.57,MX,1588714478
280,la primavera,5.49,-70.41,85.44,73,100,2.93,CO,1588714478
281,wattens,47.27,11.6,43.39,93,75,2.24,AT,1588714288
282,aasiaat,68.71,-52.87,23.92,90,0,8.1,GL,1588714478
283,killybegs,54.63,-8.45,51.01,70,10,5.99,IE,1588714478
284,cabo san lucas,22.89,-109.91,88.5,33,5,10.29,MX,1588714333
285,bambous virieux,-20.34,57.76,73.2,94,40,3.36,MU,1588714479
286,kalengwa,-13.47,25.0,61.09,68,0,5.1,ZM,1588714444
287,san policarpo,12.18,125.51,82.45,82,91,6.58,PH,1588714479
288,anju,39.62,125.66,55.09,65,55,2.19,KP,1588714479
289,amanganj,24.43,80.03,82.87,34,11,3.36,IN,1588714480
290,nishihara,26.18,127.76,74.57,94,90,25.28,JP,1588714480
291,san quintin,30.48,-115.95,74.44,53,0,14.99,MX,1588714480
292,flin flon,54.77,-101.86,48.2,29,20,8.05,CA,1588714480
293,camapua,-19.53,-54.04,74.12,53,48,0.76,BR,1588714480
294,san carlos,9.66,-68.58,90.46,50,74,2.37,VE,1588714481
295,edd,13.93,41.69,91.53,48,98,17.56,ER,1588714481
296,lloydminster,53.28,-110.0,62.6,29,40,4.7,CA,1588714453
297,morant bay,17.88,-76.41,83.64,74,75,18.34,JM,1588714481
298,ozernovskiy,51.5,156.52,33.84,93,100,32.26,RU,1588714481
299,fortuna,40.6,-124.16,63.12,68,75,6.93,US,1588714479
300,carnarvon,-24.87,113.63,69.44,77,9,15.59,AU,1588714482
301,atchison,39.56,-95.12,70.52,50,1,27.51,US,1588714205
302,cabedelo,-6.98,-34.83,80.6,88,20,8.05,BR,1588714482
303,seydi,39.48,62.91,70.74,49,0,5.46,TM,1588714483
304,sao gabriel da cachoeira,-0.13,-67.09,75.2,94,40,8.05,BR,1588714483
305,asyut,27.18,31.18,73.4,31,0,12.75,EG,1588714483
306,bilma,18.69,12.92,82.81,13,0,8.75,NE,1588714362
307,issia,6.49,-6.59,77.4,88,11,2.06,CI,1588714483
308,omsukchan,62.53,155.8,23.13,94,100,13.35,RU,1588714483
309,kerman,30.28,57.08,60.8,36,4,4.97,IR,1588714484
310,majene,-3.54,118.97,79.3,87,100,8.5,ID,1588714484
311,yulara,-25.24,130.99,44.6,39,1,5.82,AU,1588714484
312,san patricio,19.22,-104.7,86.0,74,20,11.41,MX,1588714356
313,nadym,65.53,72.52,33.84,97,100,9.8,RU,1588714484
314,oksfjord,70.24,22.35,38.59,65,62,24.16,NO,1588714485
315,port macquarie,-31.43,152.92,55.51,97,47,4.34,AU,1588714485
316,beira,-19.84,34.84,75.2,69,20,8.05,MZ,1588714455
317,hargeysa,9.56,44.06,73.04,71,39,7.52,SO,1588714485
318,ostrovnoy,68.05,39.51,36.14,90,91,19.62,RU,1588714485
319,naze,28.37,129.48,73.4,100,75,4.7,JP,1588714486
320,stornoway,58.21,-6.39,45.82,87,2,2.24,GB,1588714486
321,maniitsoq,65.42,-52.9,31.59,93,99,14.09,GL,1588714338
322,sao jose da coroa grande,-8.9,-35.15,79.68,82,29,9.89,BR,1588714486
323,fairbanks,64.84,-147.72,57.43,32,20,3.85,US,1588714231
324,blagoyevo,63.37,47.92,41.49,94,92,4.36,RU,1588714487
325,havre-saint-pierre,50.23,-63.6,42.8,45,40,13.87,CA,1588714384
326,mount isa,-20.73,139.5,64.4,45,0,8.05,AU,1588714230
327,tomohon,1.33,124.84,75.2,100,20,2.24,ID,1588714487
328,sunrise manor,36.21,-115.07,89.74,6,1,8.05,US,1588714487
329,griffith,41.53,-87.42,45.57,65,90,6.22,US,1588714488
330,kiunga,-6.12,141.29,73.85,98,100,2.24,PG,1588714488
331,hamilton,39.18,-84.53,51.13,62,90,5.82,US,1588714227
332,wenling,28.37,121.36,73.0,90,100,5.59,CN,1588714488
333,vanavara,60.34,102.28,37.04,93,100,11.45,RU,1588714488
334,platnirovskaya,45.4,39.38,57.38,100,40,2.24,RU,1588714489
335,ho chi minh city,10.75,106.67,84.2,83,40,8.05,VN,1588714234
336,yar-sale,66.83,70.83,32.41,97,92,11.34,RU,1588714489
337,cururupu,-1.83,-44.87,76.82,96,100,4.61,BR,1588714489
338,sao joao da barra,-21.64,-41.05,76.06,73,91,5.82,BR,1588714224
339,wellington,-41.29,174.78,50.43,71,19,20.8,NZ,1588714490
340,edson,53.58,-116.44,59.0,30,1,8.05,CA,1588714227
341,hofn,64.25,-15.21,48.38,51,0,13.0,IS,1588714208
342,gainesville,29.65,-82.32,85.1,51,1,14.99,US,1588714442
343,eydhafushi,5.1,73.07,84.76,81,100,14.88,MV,1588714491
344,boueni,-12.9,45.08,80.6,78,88,9.17,YT,1588714491
345,sajokaza,48.28,20.58,42.53,75,21,2.24,HU,1588714491
346,sao miguel do araguaia,-13.28,-50.16,76.44,77,56,3.02,BR,1588714308
347,faanui,-16.48,-151.75,81.72,79,52,11.16,PF,1588714194
348,rafsanjan,30.41,55.99,73.62,25,30,9.31,IR,1588714492
349,half moon bay,37.46,-122.43,70.09,46,5,11.41,US,1588714492
350,cuamba,-14.8,36.54,62.67,91,0,5.3,MZ,1588714492
351,komsomolskiy,40.43,71.72,60.8,72,90,4.7,UZ,1588714492
352,khash,28.22,61.22,71.33,22,20,2.06,IR,1588714492
353,alamogordo,32.9,-105.96,78.66,18,1,9.17,US,1588714201
354,buala,-8.14,159.59,84.42,64,64,1.41,SB,1588714326
355,payakumbuh,-0.22,100.63,70.84,90,99,2.89,ID,1588714278
356,navalmoral de la mata,39.89,-5.54,59.0,59,0,3.0,ES,1588714493
357,kahului,20.89,-156.47,77.94,45,40,23.04,US,1588714425
358,pundaguitan,6.37,126.17,83.17,74,14,4.18,PH,1588714355
359,mahebourg,-20.41,57.7,73.4,94,40,3.36,MU,1588714223
360,havoysund,71.0,24.66,38.28,74,40,13.87,NO,1588714494
361,chikodi,16.43,74.6,74.77,79,16,7.09,IN,1588714494
362,yaan,7.38,8.57,83.98,66,0,4.99,NG,1588714425
363,hasaki,35.73,140.83,58.08,100,75,8.05,JP,1588714198
364,port lincoln,-34.73,135.87,60.19,38,100,20.47,AU,1588714495
365,paka,4.64,103.44,77.0,100,96,1.12,MY,1588714495
366,carndonagh,55.25,-7.27,42.58,81,30,5.57,IE,1588714495
367,kununurra,-15.77,128.73,59.0,77,69,7.23,AU,1588714195
368,aanekoski,62.69,25.82,39.09,64,10,5.39,FI,1588714200
369,taoudenni,22.68,-3.98,94.37,10,0,5.64,ML,1588714496
370,oranjestad,12.52,-70.03,86.0,70,20,23.04,AW,1588714227
371,la crosse,43.8,-91.24,51.39,62,20,4.7,US,1588714360
372,alofi,-19.06,-169.92,80.4,72,0,9.37,NU,1588714497
373,kontagora,10.4,5.47,86.97,42,15,3.62,NG,1588714497
374,sakakah,29.97,40.21,71.6,35,0,26.4,SA,1588714252
375,chengde,40.97,117.94,57.09,47,100,2.37,CN,1588714497
376,brigantine,39.41,-74.36,59.22,31,75,8.05,US,1588714498
377,kachiry,53.07,76.1,43.79,61,17,7.02,KZ,1588714498
378,ballarpur,19.83,79.35,90.36,31,37,8.5,IN,1588714498
379,inongo,-1.95,18.27,74.84,92,100,3.0,CD,1588714498
380,necochea,-38.55,-58.74,53.01,72,93,15.99,AR,1588714498
381,wabana,47.63,-52.95,41.65,100,90,27.51,CA,1588714498
382,sobolevo,54.43,31.9,51.4,96,87,5.5,RU,1588714499
383,bjornevatn,69.67,29.98,39.2,60,98,24.16,NO,1588714499
384,sioux lookout,50.1,-91.92,59.0,30,75,6.93,CA,1588714499
385,san cosme y damian,-27.32,-56.35,65.3,93,75,10.29,PY,1588714499
